"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2018-06-13T13:29:04.899+09:00"
"RESULT_INF"
"TOTAL_NUMBER","2070"
"FROM_NUMBER","1"
"TO_NUMBER","2070"
"TABLE_INF","0003142014"
"STAT_NAME","00200521","国勢調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","平成27年国勢調査 速報集計 抽出速報集計"
"TITLE","00110","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) 全国(市部・郡部)"
"CYCLE","-"
"SURVEY_DATE","201510"
"OPEN_DATE","2016-06-29"
"SMALL_AREA","0"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","2070"
"UPDATED_DATE","2016-09-01"
"STATISTICS_NAME_SPEC","平成27年国勢調査","速報集計","抽出速報集計","","",""
"TITLE_SPEC","","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人)","全国(市部・郡部)","",""
"NOTE","***","当該数値がないもの"
"NOTE","-","当該数値がないもの"
"VALUE"
"tab_code","表章項目","cat01_code","国籍_2015","cat02_code","男女別_2015","cat03_code","年齢_2015","area_code","地域（2015）","time_code","時間軸(年次)","unit","value"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0570","56歳","00001","全国市部","2015000000","2015年","人","1382100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0570","56歳","00002","全国郡部","2015000000","2015年","人","141700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0580","57歳","00000","全国","2015000000","2015年","人","1490000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0580","57歳","00001","全国市部","2015000000","2015年","人","1339100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0580","57歳","00002","全国郡部","2015000000","2015年","人","150800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0590","58歳","00000","全国","2015000000","2015年","人","1441100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0590","58歳","00001","全国市部","2015000000","2015年","人","1303400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0590","58歳","00002","全国郡部","2015000000","2015年","人","137700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0600","59歳","00000","全国","2015000000","2015年","人","1496700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0600","59歳","00001","全国市部","2015000000","2015年","人","1341200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0600","59歳","00002","全国郡部","2015000000","2015年","人","155500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0610","60歳","00000","全国","2015000000","2015年","人","1550600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0610","60歳","00001","全国市部","2015000000","2015年","人","1395600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0610","60歳","00002","全国郡部","2015000000","2015年","人","155000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0620","61歳","00000","全国","2015000000","2015年","人","1565900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0620","61歳","00001","全国市部","2015000000","2015年","人","1410100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0620","61歳","00002","全国郡部","2015000000","2015年","人","155800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0630","62歳","00000","全国","2015000000","2015年","人","1669400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0630","62歳","00001","全国市部","2015000000","2015年","人","1498000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0630","62歳","00002","全国郡部","2015000000","2015年","人","171400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0640","63歳","00000","全国","2015000000","2015年","人","1753700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0640","63歳","00001","全国市部","2015000000","2015年","人","1577700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0640","63歳","00002","全国郡部","2015000000","2015年","人","176000"
